Pair,Genotype,Longitude,Latitude,Elevation (masl),Race,Elevation class
Mex_,CIMMYTMA-000743,-92.9,15421,35,TEPECI,Low
Mex_,CIMMYTMA-001398,-99.1,19699,2247,CHALQU,High
Mex_,CIMMYTMA-002345,"-96,708",19855,372,TUXPEN,Low
Mex_,CIMMYTMA-010234,-97.46,19029,2500,CACAHU,High
Mex_1,CIMMYTMA-005460,-100.65,18.35,245,TUXPEN,Low
Mex_10,CIMMYTMA-025027,"-95,001,338",16478858,28,ZAPCHI,Low
Mex_10,CIMMYTMA-027432,-92.63,16.75,2131,NA,High
Mex_11,CIMMYTMA-000645,"-104,563,018",29566727,798,CELAYA,Low
Mex_11,CIMMYTMA-021008,"-107,755,055",29354404,2145,HEMBRA,High
Mex_12,CIMMYTMA-019483,"-103,478,062",22902593,2019,CONNOR,High
Mex_12,CIMMYTMA-023628,-100,2193333333,994,CONICO,Low
Mex_13,CIMMYTMA-001535,-99.8,42936,2039,CONNOR,High
Mex_13,CIMMYTMA-007026,"-1,051,666,667",42787,8,TUXPEN,Low
Mex_14,CIMMYTMA-006081,"-97,867,153",17190837,2338,CONICO,High
Mex_14,CIMMYTMA-025041,"-9,371,666,667",42932,547,OLOTIL,Low
Mex_15,CIMMYTMA-005606,"-1,022,666,667",19.65,2287,CACAHU,High
Mex_15,CIMMYTMA-017852,"-9,936,666,667",1871666667,952,TUXPEN,Low
Mex_16,CIMMYTMA-007344,"-110,367,266",2943544,390,ONAVEN,Low
Mex_16,CIMMYTMA-021113,"-1,066,333,333",2853333333,2141,CELAYA,High
Mex_17,CIMMYTMA-013920,"-9,721,666,667",17.45,2083,NA,High
Mex_17,CIMMYTMA-017793,"-8,913,333,333",1708333333,97,NA,Low
Mex_18,CIMMYTMA-007076,"-1,048,833,333",2171666667,177,BOFO,Low
Mex_18,CIMMYTMA-021313,"-1,021,666,667",2101666667,2055,CELAYA,High
Mex_19,CIMMYTMA-016642,"-1,015,833,333",2188333333,2213,CELAYA,High
Mex_19,CIMMYTMA-023971,"-104,469,957",22274119,648,BOFO,Low
Mex_2,CIMMYTMA-023713,-104.35,1976666667,907,NA,Low
Mex_20,CIMMYTMA-000449,"-100,726,374",2826979,356,TUXPEN,Low
Mex_20,CIMMYTMA-021154,-107.5,28.55,2046,CONNOR,High
Mex_21,CIMMYTMA-027739,"-91,920,436",15153303,3201,NA,High
Mex_22,CIMMYTMA-003266,-97.75,42756,88,TEPECI,Low
Mex_22,CIMMYTMA-013771,"-1,012,166,667",2148333333,2091,NA,High
Mex_23,CIMMYTMA-021332,"-1,026,666,667",2081666667,2017,CELAYA,High
Mex_23,CIMMYTMA-025845,"-9,838,333,333",2151666667,42,TUXPEN,Low
Mex_24,CIMMYTMA-025151,"-100,139,433",20175815,2674,NA,High
Mex_24,CIMMYTMA-025289,-104.4,42967,800,NA,Low
Mex_25,CIMMYTMA-003229,-96.87,20.32,5,TUXPEN,Low
Mex_25,CIMMYTMA-005613,"-101,582,675",19499015,2280,MUSHIT,High
Mex_26,CIMMYTMA-018374,-99.52,19.97,2418,NA,High
Mex_26,CIMMYTMA-029313,-98.27,20.87,429,TEPECI,Low
Mex_27,CIMMYTMA-001968,"-9,868,333,333",1888333333,2261,PEPITI,High
Mex_27,CIMMYTMA-005339,-102.8,42905,324,VANDEN,Low
Mex_28,CIMMYTMA-007294,"-109,395,459",28975149,454,TABPER,Low
Mex_28,CIMMYTMA-007937,-108.25,29.65,2141,GORDO,High
Mex_29,CIMMYTMA-000861,"-107,460,246",24824405,46,CHAPAL,Low
Mex_29,CIMMYTMA-013374,"-104,120,767",24470342,2030,CONNOR,High
Mex_3,CIMMYTMA-002335,"-97,382,222",2043027778,109,TUXPEN,Low
Mex_30,CIMMYTMA-000547,"-99,632,358",21445085,562,TUXPEN,Low
Mex_30,CIMMYTMA-000554,-101.25,2101666667,2064,CELAYA,High
Mex_4,CIMMYTMA-007015,"-1,053,333,333",2031666667,655,TUXPEN,Low
Mex_4,CIMMYTMA-008102,-97.24,19.71,2220,PALOME,High
Mex_5,CIMMYTMA-014017,"-1,011,166,667",2313333333,2043,NA,High
Mex_5,CIMMYTMA-018888,"-10,546,224",22417143,11,TABLON,Low
Mex_6,CIMMYTMA-016261,"-101,262,247",17560971,52,NA,Low
Mex_6,CIMMYTMA-020218,"-9,626,666,667",42994,2164,BOLITA,High
Mex_7,CIMMYTMA-000686,"-95,436,809",18589859,30,TUXPEN,Low
Mex_7,CIMMYTMA-026945,"-9,791,666,667",1931666667,2492,NA,High
Mex_8,CIMMYTMA-007584,"-9,843,333,333",1928333333,2261,CONICO,High
Mex_8,CIMMYTMA-023180,"-103,731,987",1933205,720,NA,Low
Mex_9,CIMMYTMA-020752,"-98,870,068",21062344,436,CONICO,Low
Mex_9,CIMMYTMA-027102,"-10,213,202",21921424,2042,CONNOR,High
SA_,CIMMYTMA-007876,"-79,274",-1786,98,NA,Low
SA_,CIMMYTMA-014311,"-64,127",-21.55,1177,APERLA,High
SA_,CIMMYTMA-014453,"-69,866",-19.01,699,HARTAR,Low
SA_,CIMMYTMA-016818,"-75,219",-14.66,236,NA,Low
SA_,CIMMYTMA-024848,"-66,216",-20816,3937,KELLU,High
SA_1,CIMMYTMA-015032,"-6,583,333,333",-17.55,2725,NA,High
SA_1,CIMMYTMA-016874,"-63,308,388",-17898168,516,NA,Low
SA_10,CIMMYTMA-014470,"-70,089,649",-20258208,513,HARTAR,Low
SA_10,CIMMYTMA-014497,"-69,419,454",-19314057,2430,HARTAR,High
SA_11,CIMMYTMA-014998,"-60,657,169",-16777628,300,CUBAAM,Low
SA_11,CIMMYTMA-018635,"-7,147,741",-16471349,2495,NA,High
SA_12,CIMMYTMA-008156,"-79,832,942",842247,17,MCUBAN,Low
SA_12,CIMMYTMA-016977,"-78,038,449",555469,2484,NA,High
SA_13,CIMMYTMA-008361,-74.25,-1293333333,2655,NA,High
SA_13,CIMMYTMA-008367,"-76,950,627",-12130747,305,NA,Low
SA_14,CIMMYTMA-014578,"-76,471,549",-8444628,580,NA,Low
SA_14,CIMMYTMA-018202,"-7,777,292",-8563063,3412,NA,High
SA_15,CIMMYTMA-011857,"-59,590,785",-18345503,613,NA,Low
SA_15,CIMMYTMA-014242,-64.7,-1913333333,2400,MOROCH,High
SA_16,CIMMYTMA-011854,"-57,827,936",-18965107,120,POJOSO,Low
SA_16,CIMMYTMA-015009,"-6,508,333,333",-1818333333,2520,AYZUMA,High
SA_17,CIMMYTMA-008025,-65.35,-23.2,2973,NA,High
SA_17,CIMMYTMA-014287,"-6,440,514",-22537684,559,CUBAAM,Low
SA_18,CIMMYTMA-012290,"-73,720,696",-1352122,2813,NA,High
SA_18,CIMMYTMA-015086,"-6,736,666,667",-1431666667,189,NA,Low
SA_19,CIMMYTMA-014283,"-6,366,666,667",-2191666667,640,CUBAAM,Low
SA_19,CIMMYTMA-014359,"-6,523,333,333",-2136666667,2900,AYZUMA,High
SA_2,CIMMYTMA-009022,"-73,094,775",-12623998,751,PIRICI,Low
SA_2,CIMMYTMA-012291,"-7,486,529",-12634544,3263,NA,High
SA_20,CIMMYTMA-024894,-78.65,-6.55,2391,NA,High
SA_20,CIMMYTMA-026029,"-75,298,185",-7221746,137,NA,Low
SA_21,CIMMYTMA-009025,-70.25,-12,234,ENANO,Low
SA_21,CIMMYTMA-024925,"-75,321,984",-11904015,3315,SNJERO,High
SA_22,CIMMYTMA-018244,"-76,557,515",-9408282,3135,NA,High
SA_22,CIMMYTMA-026034,-74.9,-1033333333,252,NA,Low
SA_23,CIMMYTMA-019738,-74.92,5.32,840,NA,Low
SA_23,CIMMYTMA-022843,"-73,101,212",5399671,2150,SABANE,High
SA_24,CIMMYTMA-008993,"-78,732,381",-8597077,14,COLORA,Low
SA_24,CIMMYTMA-012541,"-77,723,683",-9176536,2453,NA,High
SA_25,CIMMYTMA-014383,"-63,292,271",-20680467,755,CUBAAM,Low
SA_25,CIMMYTMA-014466,"-6,923,333,333",-2008333333,2609,CACHCH,High
SA_26,CIMMYTMA-017379,"-8,044,021",-1066298,36,NA,Low
SA_26,CIMMYTMA-021797,"-78,457,937",-148041,2890,MISHCA,High
SA_27,CIMMYTMA-016810,"-75,713,591",-1417888,381,NA,Low
SA_27,CIMMYTMA-024902,"-71,744,682",-13950973,3061,NA,High
